# Unreal Engine：中文候选到官方英文术语
虚幻编辑器	Unreal Editor
内容浏览器	Content Browser
蓝图可视化脚本	Blueprint Visual Scripting
蓝图函数库	Blueprint Function Library
蓝图接口	Blueprint Interface
动画蓝图	Animation Blueprint
关卡蓝图	Level Blueprint
行为树	Behavior Tree
黑板组件	Blackboard Component
玩家控制器	Player Controller
AI控制器	AI Controller
游戏实例	Game Instance
世界分区	World Partition
数据层	Data Layer
关卡实例	Level Instance
流送源	Streaming Source
层级细节	Hierarchical Level of Detail (HLOD)
静态网格体	Static Mesh
骨骼网格体	Skeletal Mesh
实例化静态网格体	Instanced Static Mesh
分层实例化静态网格体	Hierarchical Instanced Static Mesh
几何体集合	Geometry Collection
材质实例	Material Instance
材质函数	Material Function
材质参数集合	Material Parameter Collection
材质表达式	Material Expression
运行时虚拟纹理	Runtime Virtual Texture
虚拟阴影贴图	Virtual Shadow Maps
网格体距离场	Mesh Distance Field
全局距离场	Global Distance Field
着色器复杂度	Shader Complexity
纹理流送	Texture Streaming
虚拟纹理	Virtual Texture
全局光照	Global Illumination
表面缓存	Surface Cache
反射捕获	Reflection Capture
体积雾	Volumetric Fog
体积云	Volumetric Cloud
指数高度雾	Exponential Height Fog
后期处理体积	Post Process Volume
动画蒙太奇	Animation Montage
动画通知	Animation Notify
动画状态机	Animation State Machine
根运动	Root Motion
运动匹配	Motion Matching
变形目标	Morph Target
程序化内容生成	Procedural Content Generation (PCG)
电影渲染队列	Movie Render Queue
关卡序列	Level Sequence

# Houdini：中文候选到官方英文术语或描述性译名
胡迪尼引擎	Houdini Engine
胡迪尼数字资产	Houdini Digital Asset (HDA)
程序化建模	Procedural Modeling
程序化工作流	Procedural Workflow
节点网络	Node Network
几何体电子表格	Geometry Spreadsheet
点属性	Point Attribute
顶点属性	Vertex Attribute
图元属性	Primitive Attribute
细节属性	Detail Attribute
字典属性	Dictionary Attribute
内在属性	Intrinsic Attribute
属性提升	Attribute Promote
属性传递	Attribute Transfer
属性插值	Attribute Interpolate
属性随机化	Attribute Randomize
打包图元	Packed Primitive
高度场	HeightField
高度场侵蚀	HeightField Erode
