# 分词碎片：跨词边界被切出来的字组，不是词。
#
# 这些条目在上游 rime-ice 里一条都不存在，却在 BaseDictIce.txt 里带着能挤进首屏的权重。它们的共同
# 形态是「从更长的真词里切出来的一段」，右边一列就是上游存在、而它是其中一段的那些词。最直白的例子
# 是「米高」：权重 50215，来自语料里的「一米高」「三米高」「两米高」，它自己不是词。
#
# 这里只收跨词边界的碎片。同样在上游不存在的地名（清远、萍乡、象山）、品牌（易趣、达能、美菱）和
# 人名片段（王志、李玉）不在此列——前两类是真词，只是上游没收；人名片段要不要留是产品判断，不由
# 这份清单代劳。
#
# 一行一个词，第一列之后的内容是说明。tools/verify_no_fragments.py 读这个文件。

不务正	# 10695	← 不务正业 / 不务正事
与职业	# 27615	← 教育与职业
世之	# 16055	← 世之议者皆曰
东西吧	# 11805	← 吃点东西吧
东西啊	# 19815	← 乱哈拉什么东西啊 / 什么东西啊 / 你乱哈拉什么东西啊
中起	# 35485	← 高中起
之世	# 10745	← 在夏后之世 / 大争之世 / 大同之世
之事	# 181575	← 不义之事 / 不如意之事 / 不平之事
之助	# 10495	← 他山之助 / 伊之助 / 光月桃之助
之势	# 110855	← 三足鼎立之势 / 井喷之势 / 以排山倒海之势
之士	# 44625	← 一介之士 / 一目之士 / 不宾之士
之始	# 17090	← 一年之始 / 万物之始 / 下车之始
之实	# 17650	← 夫妻之实
之师	# 15680	← 一字之师 / 七佛之师 / 三忍之师
之石	# 14540	← 世界之石 / 他山之石 / 伊娃之石
些年	# 13720	← 一些年 / 前些年 / 哪些年
人之	# 116270	← 人之一生 / 人之中 / 人之为人
人自	# 31250	← 人自为守 / 人自为战 / 人自为政
以解	# 12160	← 以解倒悬 / 以解决 / 以解燃眉之急
元整	# 24545	← 仟元整
其义	# 12440	← 其义则始乎为士 / 其义自现 / 其义自见
南临	# 16795	← 南临渤海 / 南临长江 / 南临黄河
和以往	# 13440	← 语料切分产物，上游无对应长词
天不	# 30450	← 半天不 / 天不下雨 / 天不亮
天来	# 27370	← 一天来 / 三天来 / 两天来
式中	# 36085	← 上式中 / 仪式中 / 体式中
技术与	# 187095	← 技术与业务 / 技术与产业 / 技术与产品
把一	# 14175	← 手把一 / 把一个 / 把一些
数为	# 80080	← 总数为 / 指数为
时的	# 77777	← 一时的 / 不时的 / 儿时的
有了长足	# 10890	← 有了长足进步
有进	# 16510	← 所有进 / 有进去 / 有进取心
爱是	# 86280	← 爱是一个人的事 / 爱是一道光 / 爱是不嫉妒
由省	# 187365	← 由省委 / 由省教育厅 / 由省科技厅
石上	# 22790	← 三生石上 / 岩石上 / 巨石上
米高	# 50215	← 一米高 / 三米高 / 两米高
而动	# 27030	← 令而动 / 伺机而动 / 倾巢而动
而建	# 42810	← 临水而建 / 依山而建 / 依水而建
而显	# 16130	← 而显得
请速	# 38485	← 请速来
钟的	# 70455	← 一分钟的 / 三分钟的 / 两分钟的
高约	# 26455	← 语料切分产物，上游无对应长词
